code,name,spec,unit,category,cost,price,sale_price,avg_cost,created_at,stock_qty,purchase_qty_total,safety_stock
D000,福有麥片(頂級),30kg,包,A6,471,530,500,471,2026/2/23 10:02,0,0,0
D000-1,福有麥片(頂級店.),30kg,包,A6,471,0,486,0,2026/2/23 10:02,0,0,0
D000-2,福有麥片(頂級),20kg,包,A6,314,370,350,314,2026/2/23 10:02,0,0,0
D000-3,福有麥片(頂級店),20kg,包,A6,314,0,324,0,2026/2/23 10:02,0,0,0
D002,福有豆粉,50kg,包,A5,605,780,680,0,2026/2/23 10:02,0,0,0
D002-1,福有豆粉(店),50kg,包,A5,725,0,885,0,2026/2/23 10:02,0,0,0
D002-2,福有全脂,50kg,包,A5,800,1150,950,1150,2026/2/23 10:02,0,0,0
D002-3,福有全脂(店),50kg,包,A5,740,0,870,740,2026/2/23 10:02,0,0,0
D003,玉米角,20kg,包,A6,178,0,0,178,2026/2/23 10:02,0,0,0
D003-1,玉米角(店),20kg,包,A6,180,0,200,0,2026/2/23 10:02,0,0,0
D003-2,玉米角,30kg,包,A6,270,0,0,312,2026/2/23 10:02,0,0,0
D003-3,玉米角(店),30kg,包,A6,295.5,0,324,0,2026/2/23 10:02,0,0,0
D004,粉頭,40kg,包,A6,216,0,400,312,2026/2/23 10:02,0,0,0
D004-1,粉頭(店),30kg,包,A6,243,0,315,0,2026/2/23 10:02,0,0,0
D004-2,中豬料,30kg,包,A6,369,500,470,367.437,2026/2/23 10:02,0,0,0
D004-3,中豬料(店),30kg,包,A6,354,440,460,294,2026/2/23 10:02,0,0,0
D004-4,白麩皮,30kg,包,A6,156,0,220,156,2026/2/23 10:02,0,0,0
D004-5,白麩皮(店),30kg,包,A6,192,0,240,0,2026/2/23 10:02,0,0,0
D004-6,紅麩皮,30kg,包,A6,0,0,0,0,2026/2/23 10:02,0,0,0
D004-7,紅麩皮(店),30kg,包,A6,165,0,174,165,2026/2/23 10:02,0,0,0
D005,肉雞前期粉,10kg,包,A6,207,0,250,221,2026/2/23 10:02,0,0,0
D005-1,肉雞前期粉(店),10kg,包,A6,207,0,211,214,2026/2/23 10:02,0,0,0
D005-2,健康小雞,10kg,包,A6,182,250,230,176,2026/2/23 10:02,0,0,0
D005-3,健康小雞(店),10kg,包,A6,177,0,0,157,2026/2/23 10:02,0,0,0
D005-4,肉鴨前,10kg,包,A6,200,0,190,180,2026/2/23 10:02,0,0,0
D005-5,高熱能中雞(店),10kg,包,A6,160,0,170,142,2026/2/23 10:02,0,0,0
D005-6,健康中雞,20kg,包,A6,276,360,340,274.08,2026/2/23 10:02,0,0,0
D005-7,健康中雞(店),20kg,包,A6,276,0,296,0,2026/2/23 10:02,0,0,0
D005-8,健康中雞,30kg,包,A6,384,0,510,435,2026/2/23 10:02,0,0,0
D005-9,健康中雞(店),30kg,包,A6,399,0,453,324,2026/2/23 10:02,0,0,0
D006,健康大雞,20kg,包,A6,230,0,0,256,2026/2/23 10:02,0,0,0
D006-1,健康大雞(店),20kg,包,A6,238,0,258,0,2026/2/23 10:02,0,0,0
D006-2,健康大雞,30kg,包,A6,357,480,450,357,2026/2/23 10:02,0,0,0
D006-3,健康大雞(店),30kg,包,A6,342,0,0,378,2026/2/23 10:02,0,0,0
D006-4,健康蛋雞,30kg,包,A6,432,570,540,418.924,2026/2/23 10:02,0,0,0
D006-5,健康蛋雞(店),30kg,包,A6,435,0,0,435,2026/2/23 10:02,0,0,0
D006-6,健康蛋雞,20kg,包,B3,294,0,0,0,2026/2/23 10:02,0,0,0
D006-7,健康蛋雞(店),20kg,包,B3,304,0,334,0,2026/2/23 10:02,0,0,0
D018,肉雞前期(10包裝),20kg,包,B3,424,0,444,423,2026/2/23 10:02,0,0,0
E001,LT魚粉,35kg,包,A7,2625,2900,2800,2625,2026/2/23 10:02,0,0,0
E002,七矮人白魚粉,25kg,包,A7,1675,1900,1850,1686.905,2026/2/23 10:02,0,0,0
E003,999魚粉,25kg,包,A7,1700,1900,1850,1700,2026/2/23 10:02,0,0,0
E004,阿拉斯加,25kg,包,A7,1875,2100,2000,1910.703,2026/2/23 10:02,0,0,0
E005,魚粉,25kg,包,A7,700,900,850,700,2026/2/23 10:02,0,0,0
E006,沸石粒,25kg,包,A7,300,270,190,0,2026/2/23 10:02,0,0,0
E009,卜蜂全脂豆粉,50kg,包,A5,865,1020,970,865,2026/2/23 10:02,0,0,0
F001,腐植酸鈉,20kg,包,A8,400,550,500,400,2026/2/23 10:02,0,0,0
F002,茶柏B片,50kg,包,A8,345,430,400,345.181,2026/2/23 10:02,0,0,0
F003,茶柏粉[緯成],30kg,包,A8,330,480,450,330,2026/2/23 10:02,0,0,0
F004,台灣茶柏片,30kg,包,A8,450,600,550,454.952,2026/2/23 10:02,0,0,0
F005,煙草,25kg,包,A8,250,350,320,250,2026/2/23 10:02,0,0,0
F006,脫殼片,50kg,包,A8,1030,1400,1350,1030,2026/2/23 10:02,0,0,0
F007,茶柏台灣粉(緯承),30kg,包,A8,420,530,500,420,2026/2/23 10:02,0,0,0
F008,茶柏粉(宏美),30kg,包,A8,354,480,450,342.319,2026/2/23 10:02,0,0,0
F009,菸草(宏美),25kg,包,A8,1030,330,300,220,2026/2/23 10:02,0,0,0
F012,茶柏,30KG,包,A8,390,480,450,390,2026/2/23 10:02,0,0,0
G001,紅藥,25kg,kg,B1,100,150,130,100,2026/2/23 10:02,0,0,0
G002,地特松,40kg,包,B1,260,370,350,260,2026/2/23 10:02,0,0,0
G004,滅藻草11,500缶,缶,B1,1100,1400,1300,1100,2026/2/23 10:02,0,0,0
G005,優典,4L罐,罐,B1,1000,1600,1500,0,2026/2/23 10:02,0,0,0
G006,滅藻草,600g罐,罐,B1,660,1100,1000,660,2026/2/23 10:02,0,0,0
G007,滅藻草S,600g罐,罐,B1,770,1200,1100,770,2026/2/23 10:02,0,0,0
G008,滅藻草S1,600g罐,罐,B1,1100,1600,1500,1100,2026/2/23 10:02,0,0,0
G009,50/B.K.C,20kg,桶,B1,2000,4000,3600,1500,2026/2/23 10:02,0,0,0
G011,80/B.K.C,20kg,桶,B1,3000,4300,4000,3000,2026/2/23 10:02,0,0,0
H000,TOP沸石粒,20kg,包,B1,350,450,420,350,2026/2/23 10:02,0,0,0
H001,TOP沸石粉,20kg,包,B1,330,450,420,336.454,2026/2/23 10:02,0,0,0
H006,TOP沸石粒(大粒),20kg,包,B1,360,470,440,360,2026/2/23 10:02,0,0,0
I001,白蝦苗,尾,尾,A1,0.31,0,0.28,0.25,2026/2/23 10:02,0,0,0
I002,虱目魚苗,尾,尾,A1,19,0,19,2.5,2026/2/23 10:02,0,0,0
I003,文蛤苗,斤,斤,0,93.75,0,93.75,93.75,2026/2/23 10:02,0,0,0
I004,變仙苦,尾,斤,0,130,0,0,130,2026/2/23 10:02,0,0,0
I005,工資,天,天,0,5000,0,0,1101.266,2026/2/23 10:02,0,0,0
I006,電費,月,月,0,0,0,0,0,2026/2/23 10:02,0,0,0
I007,紅沙苗,尾,尾,B3,12,0,12,6,2026/2/23 10:02,0,0,0
